@relation trainDT

@attribute Date_Time numeric
@attribute Speed numeric
@attribute leftMeas numeric
@attribute rightMeas numeric
@attribute nomWeight numeric
@attribute Axle numeric
@attribute minMeas numeric
@attribute maxMeas numeric
@attribute maxMeasSide {Righ,Left}
@attribute diffMeas numeric
@attribute avgMeas numeric
@attribute idWithinseq numeric
@attribute cntMaxMeasSide numeric
@attribute seqId numeric
@attribute maxMeas_b0_16 numeric
@attribute maxMeas_b1_16 numeric
@attribute maxMeas_b0t_16 numeric
@attribute maxMeas_b1t_16 numeric
@attribute maxMeas_a1_16 numeric
@attribute maxMeas_a3_16 numeric
@attribute maxMeas_a5_16 numeric
@attribute maxMeas_b0_24 numeric
@attribute maxMeas_b1_24 numeric
@attribute maxMeas_b0t_24 numeric
@attribute maxMeas_b1t_24 numeric
@attribute maxMeas_a1_24 numeric
@attribute maxMeas_a3_24 numeric
@attribute maxMeas_a5_24 numeric
@attribute Unit_id {ACFX79705,CBTX742482,CP214538,CP216117,GATX209511,IBT19821,NATX302222,NDYX863352,PPRX660134,PPRX660840,PPRX660900,PPRX661165,PPRX661168,PPRX661231,PPRX661526,PPRX661611,PROX76703,SCYX131926,SHPX208088,SHPX211983,SHPX212050}
@attribute site {REDW,GUEL,LOVE,STED,POPL,TBAY,SUDB,BOLT,WHIT,GOGV,BELL,MILE}
@attribute Dir {E,S,N,W}
@attribute ttf numeric
@attribute cnt numeric
@attribute timetofail numeric
@attribute label numeric

@data
41685.83333,47.3,53.9,46.6,13.1,4,46.6,53.9,Left,7.3,50.25,12,0,129,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GATX209511,LOVE,W,-17,29,16,0
41685.83333,47.3,53.9,46.6,13.1,4,46.6,53.9,Left,7.3,50.25,13,1,129,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GATX209511,LOVE,W,-16,29,16,0
41686.25903,42.2,54.3,60.2,13.8,4,54.3,60.2,Righ,5.9,57.25,14,0,129,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GATX209511,BOLT,N,-15,29,15,1
41686.25903,42.2,54.3,60.2,13.8,4,54.3,60.2,Righ,5.9,57.25,15,1,129,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GATX209511,BOLT,N,-14,29,15,1
41686.56875,47.6,56.4,42.6,13.2,4,42.6,56.4,Left,13.8,49.5,16,0,129,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GATX209511,SUDB,W,-13,29,15,1
41686.56875,47.6,56.4,42.6,13.2,4,42.6,56.4,Left,13.8,49.5,17,1,129,64.755147,-0.266912,64.790386,-0.264533,-0.330393,-0.098934,0.179496,?,?,?,?,?,?,?,GATX209511,SUDB,W,-12,29,15,1
41687.56736,43.7,66.1,44.2,13.9,4,44.2,66.1,Left,21.9,55.15,18,2,129,64.755147,-0.266912,64.790386,-0.264533,-0.330393,-0.098934,0.179496,?,?,?,?,?,?,?,GATX209511,TBAY,W,-11,29,14,1
41687.56736,43.7,66.1,44.2,13.9,4,44.2,66.1,Left,21.9,55.15,19,3,129,64.755147,-0.266912,64.790386,-0.264533,-0.330393,-0.098934,0.179496,?,?,?,?,?,?,?,GATX209511,TBAY,W,-10,29,14,1
41695.675,39.8,65.9,58.8,31.2,4,58.8,65.9,Left,7.1,62.35,20,4,129,64.755147,-0.266912,64.790386,-0.264533,-0.330393,-0.098934,0.179496,?,?,?,?,?,?,?,GATX209511,TBAY,E,-9,29,6,1
41695.675,39.8,65.9,58.8,31.2,4,58.8,65.9,Left,7.1,62.35,21,5,129,64.755147,-0.266912,64.790386,-0.264533,-0.330393,-0.098934,0.179496,?,?,?,?,?,?,?,GATX209511,TBAY,E,-8,29,6,1
41697.08194,34.2,71.5,51.3,28.5,4,51.3,71.5,Left,20.2,61.4,22,6,129,53.292647,1.181863,53.891868,1.140925,-0.14193,0.046787,-0.071565,?,?,?,?,?,?,?,GATX209511,SUDB,E,-7,29,4,1
41697.08194,34.2,71.5,51.3,28.5,4,51.3,71.5,Left,20.2,61.4,23,7,129,53.292647,1.181863,53.891868,1.140925,-0.14193,0.046787,-0.071565,?,?,?,?,?,?,?,GATX209511,SUDB,E,-6,29,4,1
41697.59167,29.8,78.3,45.7,30.7,4,45.7,78.3,Left,32.6,62,24,8,129,53.292647,1.181863,53.891868,1.140925,-0.14193,0.046787,-0.071565,?,?,?,?,?,?,?,GATX209511,BOLT,S,-5,29,4,1
